"country","year","age_grp","avg_schooling"
"Albania",2020,"25-29",13.2826373626374
"Albania",2020,"30-34",13.3285714285714
"Albania",2020,"35-39",13.1450549450549
"Albania",2020,"40-44",12.7464835164836
"Albania",2020,"45-49",12.0103296703296
"Albania",2020,"50-54",11.0285714285715
"Albania",2020,"55-59",9.61252747252746
"Albania",2020,"60-64",8.06912087912087
"Albania",2020,"65-999",7.55160227631504
"Albania",2021,"15-19",12.7823956043956
"Albania",2021,"20-24",13.8076373626374
"Albania",2021,"25-29",13.4244725274725
"Albania",2021,"30-34",13.4854395604395
"Albania",2021,"35-39",13.310989010989
"Albania",2021,"40-44",12.9182417582418
"Albania",2021,"45-49",12.178934065934
"Albania",2021,"50-54",11.1877472527473
"Albania",2021,"55-59",9.75226373626373
"Albania",2021,"60-64",8.18740659340659
"Albania",2021,"65-999",7.66199455676258
"Albania",2022,"15-19",12.9129230769231
"Albania",2022,"20-24",13.95
"Albania",2022,"25-29",13.5663076923077
"Albania",2022,"30-34",13.6423076923077
"Albania",2022,"35-39",13.4769230769231
"Albania",2022,"40-44",13.09
"Albania",2022,"45-49",12.3475384615384
"Albania",2022,"50-54",11.3469230769231
"Albania",2022,"55-59",9.892
"Albania",2022,"60-64",8.30569230769231
"Albania",2022,"65-999",7.77238683721009
"Albania",2023,"15-19",13.0434505494505
"Albania",2023,"20-24",14.0923626373626
"Albania",2023,"25-29",13.7081428571429
"Albania",2023,"30-34",13.7991758241758
"Albania",2023,"35-39",13.6428571428571
"Albania",2023,"40-44",13.2617582417583
"Albania",2023,"45-49",12.5161428571428
"Albania",2023,"50-54",11.5060989010989
"Albania",2023,"55-59",10.0317362637363
"Albania",2023,"60-64",8.423978021978
"Albania",2023,"65-999",7.88277911765763
"Albania",2024,"15-19",13.173978021978
"Albania",2024,"20-24",14.2347252747252
"Albania",2024,"25-29",13.849978021978
"Albania",2024,"30-34",13.9560439560439
"Albania",2024,"35-39",13.8087912087912
"Albania",2024,"40-44",13.4335164835165
"Albania",2024,"45-49",12.6847472527472
"Albania",2024,"50-54",11.6652747252747
"Albania",2024,"55-59",10.1714725274725
"Albania",2024,"60-64",8.54226373626372
"Albania",2024,"65-999",7.99317139810515
"Albania",2025,"15-19",13.3045054945055
"Albania",2025,"20-24",14.3770879120879
"Albania",2025,"25-29",13.9918131868132
"Albania",2025,"30-34",14.1129120879121
"Albania",2025,"35-39",13.9747252747252
"Albania",2025,"40-44",13.6052747252748
"Albania",2025,"45-49",12.8533516483516
"Albania",2025,"50-54",11.8244505494505
"Albania",2025,"55-59",10.3112087912088
"Albania",2025,"60-64",8.66054945054944
"Albania",2025,"65-999",8.10356367855269
"Albania",2026,"15-19",13.435032967033
"Albania",2026,"20-24",14.5194505494505
"Albania",2026,"25-29",14.1336483516483
"Albania",2026,"30-34",14.2697802197802
"Albania",2026,"35-39",14.1406593406593
"Albania",2026,"40-44",13.777032967033
"Albania",2026,"45-49",13.021956043956
"Albania",2026,"50-54",11.9836263736264
"Albania",2026,"55-59",10.4509450549451
"Albania",2026,"60-64",8.77883516483516
"Albania",2026,"65-999",8.2139559590002
"Albania",2027,"15-19",13.5655604395604
"Albania",2027,"20-24",14.6618131868132
"Albania",2027,"25-29",14.2754835164835
"Albania",2027,"30-34",14.4266483516483
"Albania",2027,"35-39",14.3065934065934
"Albania",2027,"40-44",13.9487912087912
"Albania",2027,"45-49",13.1905604395604
"Albania",2027,"50-54",12.1428021978022
"Albania",2027,"55-59",10.5906813186813
"Albania",2027,"60-64",8.89712087912088
"Albania",2027,"65-999",8.32434823944774
"Albania",2028,"15-19",13.6960879120879
"Albania",2028,"20-24",14.8041758241758
"Albania",2028,"25-29",14.4173186813187
"Albania",2028,"30-34",14.5835164835165
"Albania",2028,"35-39",14.4725274725275
"Albania",2028,"40-44",14.1205494505495
"Albania",2028,"45-49",13.3591648351647
"Albania",2028,"50-54",12.301978021978
"Albania",2028,"55-59",10.7304175824176
"Albania",2028,"60-64",9.0154065934066
"Albania",2028,"65-999",8.43474051989526
"Albania",2029,"15-19",13.8266153846154
"Albania",2029,"20-24",14.9465384615384
"Albania",2029,"25-29",14.5591538461538
"Albania",2029,"30-34",14.7403846153846
"Albania",2029,"35-39",14.6384615384615
"Albania",2029,"40-44",14.2923076923078
"Albania",2029,"45-49",13.5277692307691
"Albania",2029,"50-54",12.4611538461539
"Albania",2029,"55-59",10.8701538461538
"Albania",2029,"60-64",9.13369230769229
"Albania",2029,"65-999",8.5451328003428
"Albania",2030,"15-19",13.9571428571429
"Albania",2030,"20-24",15.0889010989011
"Albania",2030,"25-29",14.700989010989
"Albania",2030,"30-34",14.8972527472527
"Albania",2030,"35-39",14.8043956043956
"Albania",2030,"40-44",14.464065934066
"Albania",2030,"45-49",13.6963736263735
"Albania",2030,"50-54",12.6203296703297
"Albania",2030,"55-59",11.0098901098901
"Albania",2030,"60-64",9.251978021978
"Albania",2030,"65-999",8.65552508079031
"Albania",2031,"15-19",14.0876703296703
"Albania",2031,"20-24",15.2312637362637
"Albania",2031,"25-29",14.8428241758241
"Albania",2031,"30-34",15.0541208791208
"Albania",2031,"35-39",14.9703296703296
"Albania",2031,"40-44",14.6358241758242
"Albania",2031,"45-49",13.8649780219779
"Albania",2031,"50-54",12.7795054945055
"Albania",2031,"55-59",11.1496263736263
"Albania",2031,"60-64",9.37026373626372
"Albania",2031,"65-999",8.76591736123785
"Albania",2032,"15-19",14.2181978021978
"Albania",2032,"20-24",15.3736263736263
"Albania",2032,"25-29",14.9846593406593
"Albania",2032,"30-34",15.210989010989
"Albania",2032,"35-39",15.1362637362637
"Albania",2032,"40-44",14.8075824175825
"Albania",2032,"45-49",14.0335824175824
"Albania",2032,"50-54",12.9386813186813
"Albania",2032,"55-59",11.2893626373626
"Albania",2032,"60-64",9.48854945054944
"Albania",2032,"65-999",8.87630964168537
"Albania",2033,"15-19",14.3487252747253
"Albania",2033,"20-24",15.515989010989
"Albania",2033,"25-29",15.1264945054945
"Albania",2033,"30-34",15.3678571428571
"Albania",2033,"35-39",15.3021978021978
"Albania",2033,"40-44",14.9793406593407
"Albania",2033,"45-49",14.2021868131868
"Albania",2033,"50-54",13.0978571428572
"Albania",2033,"55-59",11.4290989010989
"Albania",2033,"60-64",9.60683516483516
"Albania",2033,"65-999",8.98670192213291
"Albania",2034,"15-19",14.4792527472527
"Albania",2034,"20-24",15.6583516483516
"Albania",2034,"25-29",15.2683296703296
"Albania",2034,"30-34",15.5247252747253
