"country","year","Yt","DR.2.Yt","DR.3.Yt"
"San Marino",2037,1727656380.96397,1162663217.84996,956561449.705059
"San Marino",2038,1718767570.17845,1134001277.45675,923922262.805405
"San Marino",2039,1709878759.39292,1106016328.49078,892372901.945583
"San Marino",2040,1700989948.6074,1078692841.85356,861877571.121219
"San Marino",2041,1692101137.82188,1052015637.14963,832401634.993052
"San Marino",2042,1683212327.03635,1025969874.9824,803911581.642438
"San Marino",2043,1674323516.25083,1000541049.41798,776374986.511806
"San Marino",2044,1665434705.46531,975714980.613493,749760477.492585
"San Marino",2045,1656545894.67978,951477807.60625,724037701.124435
"San Marino",2046,1647657083.89426,927815981.260344,699177289.870635
"San Marino",2047,1638768273.10873,904716257.367211,675150830.435544
"San Marino",2048,1629879462.32321,882165689.896936,651930833.091327
"San Marino",2049,1620990651.53769,860151624.396904,629490701.981893
"San Marino",2050,1612101840.75216,838661691.534739,607804706.373239
"Sao Tome and Principe",2015,749361153.081304,779635343.665789,794997247.303955
"Sao Tome and Principe",2016,788154266.247615,803917351.572567,811798894.235043
"Sao Tome and Principe",2017,820570890.930023,820570890.930023,820570890.930023
"Sao Tome and Principe",2018,856496535.54388,839702485.827333,831550034.508621
"Sao Tome and Principe",2019,873749088.476645,839820346.478898,823592316.407432
"Sao Tome and Principe",2020,901800148.290123,849786421.03162,825274884.111148
"Sao Tome and Principe",2021,929646133.051834,858849327.843173,825978548.36146
"Sao Tome and Principe",2022,957492117.813553,867230111.273031,825941111.804568
"Sao Tome and Principe",2023,985338102.575272,874952036.864484,825205148.417334
"Sao Tome and Principe",2024,1013184087.33698,882037720.040856,823811380.841861
"Sao Tome and Principe",2025,1041030072.0987,888509142.655588,821798752.113216
"Sao Tome and Principe",2026,1068876056.86042,894387669.143159,819204494.779304
"Sao Tome and Principe",2027,1096722041.62213,899694062.280323,816064197.50414
"Sao Tome and Principe",2028,1124568026.38385,904448498.566618,812411869.242371
"Sao Tome and Principe",2029,1152414011.14557,908670583.232965,808280001.069983
"Sao Tome and Principe",2030,1180259995.90728,912379364.88718,803699625.753404
"Sao Tome and Principe",2031,1208105980.669,915593349.804778,798700375.13624
"Sao Tome and Principe",2032,1235951965.43072,918330515.873286,793310535.420162
"Sao Tome and Principe",2033,1263797950.19243,920608326.198306,787557100.414071
"Sao Tome and Principe",2034,1291643934.95415,922443742.379148,781465822.822914
"Sao Tome and Principe",2035,1319489919.71587,923853237.461704,775061263.645143
"Sao Tome and Principe",2036,1347335904.47758,924852808.57624,768366839.74557
"Sao Tome and Principe",2037,1375181889.2393,925457989.267429,761404869.667958
"Sao Tome and Principe",2038,1403027874.00101,925683861.523748,754196617.749474
"Sao Tome and Principe",2039,1430873858.76273,925545067.51348,746762336.597196
"Sao Tome and Principe",2040,1458719843.52444,925055821.033972,739121307.984488
"Sao Tome and Principe",2041,1486565828.28616,924229918.681112,731291882.223448
"Sao Tome and Principe",2042,1514411813.04787,923080750.745377,723291516.067309
"Sao Tome and Principe",2043,1542257797.80959,921621311.841084,715136809.195225
"Sao Tome and Principe",2044,1570103782.5713,919864211.274921,706843539.329673
"Sao Tome and Principe",2045,1597949767.33302,917821683.160093,698426696.035353
"Sao Tome and Principe",2046,1625795752.09474,915505596.281881,689900513.246445
"Sao Tome and Principe",2047,1653641736.85645,912927463.720625,681278500.567744
"Sao Tome and Principe",2048,1681487721.61817,910098452.237793,672573473.393451
"Sao Tome and Principe",2049,1709333706.37989,907029391.430674,663797581.885913
"Sao Tome and Principe",2050,1737179691.1416,903730782.661261,654962338.855241
"Saudi Arabia",2015,1365791514229.83,1420969491404.72,1448968217446.43
"Saudi Arabia",2016,1391529756099.99,1419360351221.99,1433275648782.99
"Saudi Arabia",2017,1404207269234.94,1404207269234.94,1404207269234.94
"Saudi Arabia",2018,1449131044242.94,1420716710042.1,1406923343925.18
"Saudi Arabia",2019,1465038644790.67,1408149408680,1380939433302.54
"Saudi Arabia",2020,1544019311215.55,1454963881930.36,1412996394539.12
"Saudi Arabia",2021,1586870800131.77,1466023330396.77,1409914152632.68
"Saudi Arabia",2022,1629722289047.98,1476089688657.29,1405812762639.46
"Saudi Arabia",2023,1672573777964.22,1485197649427.27,1400754207186.94
"Saudi Arabia",2024,1715425266880.44,1493380926734.26,1394797722844.39
"Saudi Arabia",2025,1758276755796.66,1500672280959.84,1387999907505.43
"Saudi Arabia",2026,1801128244712.88,1507103543275.48,1380414823844.66
"Saudi Arabia",2027,1843979733629.09,1512705639486.87,1372094098986.29
"Saudi Arabia",2028,1886831222545.31,1517508613300.4,1363087020517.59
"Saudi Arabia",2029,1929682711461.55,1521541649025.34,1353440628975.35
"Saudi Arabia",2030,1972534200377.77,1524833093724.79,1343199806929.61
"Saudi Arabia",2031,2015385689293.98,1527410478828.56,1332407364784.28
"Saudi Arabia",2032,2058237178210.2,1529300541220.18,1321104123410.32
"Saudi Arabia",2033,2101088667126.42,1530529243810.66,1309328993723.24
"Saudi Arabia",2034,2143940156042.66,1531121795610.9,1297119053312.81
"Saudi Arabia",2035,2186791644958.88,1531102671314.46,1284509620229.19
"Saudi Arabia",2036,2229643133875.09,1530495630402.33,1271534324026.11
"Saudi Arabia",2037,2272494622791.31,1529323735780.76,1258225174158.37
"Saudi Arabia",2038,2315346111707.53,1527609371963.11,1244612625827.25
"Saudi Arabia",2039,2358197600623.75,1525374262806.6,1230725643364.84
"Saudi Arabia",2040,2401049089539.98,1522639488814.26,1216591761244.54
"Saudi Arabia",2041,2443900578456.2,1519425504012.39,1202237142802.25
"Saudi Arabia",2042,2486752067372.42,1515752152413.51,1187686636750.01
"Saudi Arabia",2043,2529603556288.64,1511638684074.55,1172963831560.73
"Saudi Arabia",2044,2572455045204.86,1507103770759.88,1158091107800.07
"Saudi Arabia",2045,2615306534121.08,1502165521218.38,1143089688479.04
"Saudi Arabia",2046,2658158023037.31,1496841496083.84,1127979687498.12
"Saudi Arabia",2047,2701009511953.53,1491148722407.38,1112780156251.37
"Saudi Arabia",2048,2743861000869.75,1485103707830.86,1097509128456.7
"Saudi Arabia",2049,2786712489785.97,1478722454409.42,1082183663275.92
"Saudi Arabia",2050,2829563978702.19,1472020472091.86,1066819886786.41
"Senegal",2015,50264153444.4251,52294825243.5799,53325240389.1906
"Senegal",2016,53458977504.3969,54528157054.4848,55062746829.5288
"Senegal",2017,57418943878.3731,57418943878.3731,57418943878.3731
"Senegal",2018,60984224502.8958,59788455394.9959,59207984954.2678
"Senegal",2019,63797809819.6021,61320463109.9597,60135554547.6502
"Senegal",2020,64994797653.4043,61246049458.1687,59479446973.8593
"Senegal",2021,67646795369.0918,62495182487.087,60103301518.4411
"Senegal",2022,70298793084.7793,63671782790.7428,60640356446.5353
"Senegal",2023,72950790800.4668,64778214538.6662,61095138808.0137
"Senegal",2024,75602788516.1543,65816777074.3332,61471985576.3718
"Senegal",2025,78254786231.8428,66789706548.4183,61775050880.6797
"Senegal",2026,80906783947.5303,67699177512.9174,62008312977.498
"Senegal",2027,83558781663.2178,68547304477.06,62175580971.7844
"Senegal",2028,86210779378.9053,69336143425.8795,62280501295.483
"Senegal",2029,88862777094.5928,70067693302.3203,62326563952.2204
"Senegal",2030,91514774810.2812,70743897453.7243,62317108536.2349
"Senegal",2031,94166772525.9688,71366645043.5184,62255330033.3895
"Senegal",2032,96818770241.6562,71937772428.9246,62144284411.8648
"Senegal",2033,99470767957.3438,72459064505.4671,61986894009.8521
"Senegal",2034,102122765673.031,72932256019.058,61785952727.3356
"Senegal",2035,104774763388.72,73359032846.4172,61544131028.806
"Senegal",2036,107426761104.407,73741033244.5519,61263980763.5061
"Senegal",2037,110078758820.095,74079849070.0397,60947939809.6117
"Senegal",2038,112730756535.782,74377026968.7893,60598336548.4904
"Senegal",2039,115382754251.47,74634069536.9965,60217394175.0204
"Senegal",2040,118034751967.157,74852436453.9436,59807234849.7041
"Senegal",2041,120686749682.846,75033545587.3219,59369883698.1535
"Senegal",2042,123338747398.533,75178774071.6953,58907272663.2963
"Senegal",2043,125990745114.221,75289459360.7624,58421244215.5127
"Senegal",2044,128642742829.908,75366900253.9978,57913554925.6852
"Senegal",2045,131294740545.596,75412357898.3023,57385878906.0225
"Senegal",2046,133946738261.284,75427056765.2239,56839811123.3114
"Senegal",2047,136598735976.972,75412185604.3392,56276870589.1216
"Senegal",2048,139250733692.659,75368898373.3443,55698503431.3117
"Senegal",2049,141902731408.347,75298315145.4092,55106085851.0518
"Senegal",2050,144554729124.034,75201522994.3195,54500926969.4172
"Serbia",2015,115606000069.474,120276482472.281,122646405473.705
"Serbia",2016,119045507231.098,121426417375.72,122616872448.031
"Serbia",2017,121859021352.593,121859021352.593,121859021352.593
"Serbia",2018,127524674194.339,125024190386.607,123810363295.475
"Serbia",2019,133582361392.09,128395195494.127,125914187380.611
"Serbia",2020,128828556925.216,121398026518.096,117896379356.615
"Serbia",2021,130505694068.853,120567088535.925,115952618859.423
"Serbia",2022,132182831212.49,119722062759.7,114022071348.663
"Serbia",2023,133859968356.127,118863821120.59,112105616098.428
"Serbia",2024,135537105499.764,117993206772.687,110204069953.907
