"country","age_grp","year","lta"
"Albania","40-44",2028,0.849543190484899
"Albania","40-44",2029,0.851501093011934
"Albania","40-44",2030,0.853437912730012
"Albania","40-44",2031,0.855353762363886
"Albania","40-44",2032,0.85724875713016
"Albania","40-44",2033,0.859123014643006
"Albania","40-44",2034,0.860976654820951
"Albania","40-44",2035,0.862809799794764
"Albania","40-44",2036,0.864622573816502
"Albania","40-44",2037,0.86641510316973
"Albania","40-44",2038,0.868187516080947
"Albania","40-44",2039,0.869939942632267
"Albania","40-44",2040,0.871672514675357
"Albania","40-44",2041,0.873385365746673
"Albania","40-44",2042,0.875078630984018
"Albania","40-44",2043,0.876752447044431
"Albania","40-44",2044,0.878406952023439
"Albania","40-44",2045,0.880042285375681
"Albania","40-44",2046,0.881658587836927
"Albania","40-44",2047,0.883256001347489
"Albania","40-44",2048,0.884834668977061
"Albania","40-44",2049,0.886394734850971
"Albania","40-44",2050,0.887936344077878
"Albania","45-49",2015,0.813128814902195
"Albania","45-49",2016,0.814777638588865
"Albania","45-49",2017,0.816415198789033
"Albania","45-49",2018,0.818041514450433
"Albania","45-49",2019,0.819656605585362
"Albania","45-49",2020,0.821260493252306
"Albania","45-49",2021,0.822853199537568
"Albania","45-49",2022,0.824434747536886
"Albania","45-49",2023,0.826005161337069
"Albania","45-49",2024,0.827564465997637
"Albania","45-49",2025,0.829112687532495
"Albania","45-49",2026,0.830649852891627
"Albania","45-49",2027,0.832175989942831
"Albania","45-49",2028,0.833691127453497
"Albania","45-49",2029,0.835195295072427
"Albania","45-49",2030,0.836688523311717
"Albania","45-49",2031,0.838170843528706
"Albania","45-49",2032,0.839642287907972
"Albania","45-49",2033,0.841102889443426
"Albania","45-49",2034,0.842552681920465
"Albania","45-49",2035,0.843991699898224
"Albania","45-49",2036,0.845419978691901
"Albania","45-49",2037,0.846837554355194
"Albania","45-49",2038,0.848244463662827
"Albania","45-49",2039,0.849640744093182
"Albania","45-49",2040,0.851026433811036
"Albania","45-49",2041,0.852401571650424
"Albania","45-49",2042,0.853766197097603
"Albania","45-49",2043,0.855120350274151
"Albania","45-49",2044,0.856464071920183
"Albania","45-49",2045,0.857797403377699
"Albania","45-49",2046,0.85912038657407
"Albania","45-49",2047,0.860433064005652
"Albania","45-49",2048,0.861735478721544
"Albania","45-49",2049,0.863027674307494
"Albania","45-49",2050,0.86430969486994
"Albania","50-54",2015,0.779790209973007
"Albania","50-54",2016,0.78411434526823
"Albania","50-54",2017,0.788376613426695
"Albania","50-54",2018,0.792576991399969
"Albania","50-54",2019,0.796715496028574
"Albania","50-54",2020,0.800792182866236
"Albania","50-54",2021,0.804807144981937
"Albania","50-54",2022,0.808760511743389
"Albania","50-54",2023,0.812652447585415
"Albania","50-54",2024,0.816483150766609
"Albania","50-54",2025,0.820252852117528
"Albania","50-54",2026,0.823961813783543
"Albania","50-54",2027,0.827610327965317
"Albania","50-54",2028,0.831198715659775
"Albania","50-54",2029,0.834727325404253
"Albania","50-54",2030,0.838196532026397
"Albania","50-54",2031,0.841606735402222
"Albania","50-54",2032,0.844958359224597
"Albania","50-54",2033,0.848251849784289
"Albania","50-54",2034,0.851487674765529
"Albania","50-54",2035,0.854666322057954
"Albania","50-54",2036,0.857788298586604
"Albania","50-54",2037,0.860854129161528
"Albania","50-54",2038,0.86386435534843
"Albania","50-54",2039,0.866819534361631
"Albania","50-54",2040,0.869720237980496
"Albania","50-54",2041,0.872567051490375
"Albania","50-54",2042,0.87536057264895
"Albania","50-54",2043,0.878101410678788
"Albania","50-54",2044,0.880790185286783
"Albania","50-54",2045,0.883427525711052
"Albania","50-54",2046,0.88601406979576
"Albania","50-54",2047,0.888550463094249
"Albania","50-54",2048,0.891037358000743
"Albania","50-54",2049,0.893475412910833
"Albania","50-54",2050,0.895865291410839
"Albania","55-59",2015,0.701352872491529
"Albania","55-59",2016,0.712800856911059
"Albania","55-59",2017,0.723982710705313
"Albania","55-59",2018,0.734891128566638
"Albania","55-59",2019,0.745519972203731
"Albania","55-59",2020,0.755864245368602
"Albania","55-59",2021,0.765920061126735
"Albania","55-59",2022,0.775684602290807
"Albania","55-59",2023,0.78515607596374
"Albania","55-59",2024,0.79433366314218
"Albania","55-59",2025,0.803217464318588
"Albania","55-59",2026,0.811808441991356
"Albania","55-59",2027,0.820108360950106
"Albania","55-59",2028,0.828119727150146
"Albania","55-59",2029,0.835845725928382
"Albania","55-59",2030,0.843290160245222
"Albania","55-59",2031,0.850457389565356
"Albania","55-59",2032,0.857352269916688
"Albania","55-59",2033,0.863980095593136
"Albania","55-59",2034,0.870346542894642
"Albania","55-59",2035,0.876457616228192
"Albania","55-59",2036,0.882319596827684
"Albania","55-59",2037,0.887938994288981
"Albania","55-59",2038,0.893322501059963
"Albania","55-59",2039,0.898476949974184
"Albania","55-59",2040,0.903409274871058
"Albania","55-59",2041,0.90812647430531
"Albania","55-59",2042,0.912635578313648
"Albania","55-59",2043,0.916943618177092
"Albania","55-59",2044,0.921057599092763
"Albania","55-59",2045,0.924984475648915
"Albania","55-59",2046,0.928731129981226
"Albania","55-59",2047,0.932304352476381
"Albania","55-59",2048,0.935710824880474
"Albania","55-59",2049,0.938957105664223
"Albania","55-59",2050,0.942049617494158
"Albania","60-64",2015,0.464173875059874
"Albania","60-64",2016,0.480236877078094
"Albania","60-64",2017,0.496340841375307
"Albania","60-64",2018,0.512452401321295
"Albania","60-64",2019,0.528538127317655
"Albania","60-64",2020,0.544564803748854
"Albania","60-64",2021,0.560499702177031
"Albania","60-64",2022,0.57631084603048
"Albania","60-64",2023,0.59196726228936
"Albania","60-64",2024,0.607439216055255
"Albania","60-64",2025,0.622698424386525
"Albania","60-64",2026,0.63771824636746
"Albania","60-64",2027,0.652473847030917
"Albania","60-64",2028,0.666942333445418
"Albania","60-64",2029,0.68110286198087
"Albania","60-64",2030,0.694936716457324
"Albania","60-64",2031,0.708427357534607
"Albania","60-64",2032,0.721560444297636
"Albania","60-64",2033,0.734323829516805
"Albania","60-64",2034,0.746707530503684
"Albania","60-64",2035,0.758703677832623
"Albania","60-64",2036,0.77030644445632
"Albania","60-64",2037,0.781511957909293
"Albania","60-64",2038,0.79231819837304
"Albania","60-64",2039,0.802724885377245
"Albania","60-64",2040,0.812733355843269
"Albania","60-64",2041,0.822346436049583
"Albania","60-64",2042,0.831568309925625
"Albania","60-64",2043,0.840404385872187
"Albania","60-64",2044,0.848861164073882
"Albania","60-64",2045,0.856946106022713
"Albania","60-64",2046,0.864667507720105
"Albania","60-64",2047,0.872034377776051
"Albania","60-64",2048,0.879056321384001
"Albania","60-64",2049,0.885743430924347
"Albania","60-64",2050,0.892106183741059
"Albania","65-999",2015,0.0898372422667753
"Albania","65-999",2016,0.0917381913985926
"Albania","65-999",2017,0.093675224563816
"Albania","65-999",2018,0.0956488506122664
"Albania","65-999",2019,0.0976595780262809
"Albania","65-999",2020,0.0997079145378022
"Albania","65-999",2021,0.101794366729862
"Albania","65-999",2022,0.103919439622283
"Albania","65-999",2023,0.106083636241465
"Albania","65-999",2024,0.10828745717414
"Albania","65-999",2025,0.110531400105005
"Albania","65-999",2026,0.11281595933817
"Albania","65-999",2027,0.115141625302403
"Albania","65-999",2028,0.11750888404016
"Albania","65-999",2029,0.119918216680454
"Albania","65-999",2030,0.122370098895631
"Albania","65-999",2031,0.124865000342168
"Albania","65-999",2032,0.12740338408566
"Albania","65-999",2033,0.129985706010176
"Albania","65-999",2034,0.132612414212256
"Albania","65-999",2035,0.135283948379822
"Albania","65-999",2036,0.138000739156347
"Albania","65-999",2037,0.140763207490696
"Albania","65-999",2038,0.143571763973063
"Albania","65-999",2039,0.146426808157524
"Albania","65-999",2040,0.149328727871754
"Albania","65-999",2041,0.152277898514547
"Albania","65-999",2042,0.155274682341798
"Albania","65-999",2043,0.158319427741706
"Albania","65-999",2044,0.161412468499989
"Albania","65-999",2045,0.164554123055999
"Albania","65-999",2046,0.16774469375066
"Albania","65-999",2047,0.17098446606723
"Albania","65-999",2048,0.174273707865969
"Albania","65-999",2049,0.177612668613832
"Albania","65-999",2050,0.181001578610411
"Algeria","15-19",2015,0.119935825313609
"Algeria","15-19",2016,0.117279019460139
"Algeria","15-19",2017,0.11467339823958
"Algeria","15-19",2018,0.112118314000362
"Algeria","15-19",2019,0.109613111960496
"Algeria","15-19",2020,0.107157131063758
"Algeria","15-19",2021,0.104749704806646
"Algeria","15-19",2022,0.102390162036053
"Algeria","15-19",2023,0.100077827717677
"Algeria","15-19",2024,0.0978120236752736
"Algeria","15-19",2025,0.0955920693008872
"Algeria","15-19",2026,0.0934172822362993
"Algeria","15-19",2027,0.0912869790259583
"Algeria","15-19",2028,0.0892004757417213
"Algeria","15-19",2029,0.0871570885797739
"Algeria","15-19",2030,0.0851561344301535
"Algeria","15-19",2031,0.0831969314193228
"Algeria","15-19",2032,0.0812787994262852
"Algeria","15-19",2033,0.0794010605727646
"Algeria","15-19",2034,0.0775630396879891
"Algeria","15-19",2035,0.0757640647486603
"Algeria","15-19",2036,0.0740034672946921
"Algeria","15-19",2037,0.0722805828213317
"Algeria","15-19",2038,0.0705947511482884
"Algeria","15-19",2039,0.068945316766499
"Algeria","15-19",2040,0.0673316291631858
"Algeria","15-19",2041,0.0657530431258506
"Algeria","15-19",2042,0.0642089190258675
"Algeria","15-19",2043,0.0626986230823268
"Algeria","15-19",2044,0.0612215276067982
"Algeria","15-19",2045,0.0597770112296673
"Algeria","15-19",2046,0.0583644591087012
"Algeria","15-19",2047,0.0569832631204979
"Algeria","15-19",2048,0.0556328220354598
"Algeria","15-19",2049,0.0543125416769364
"Algeria","15-19",2050,0.0530218350651626
"Algeria","20-24",2015,0.417607599902169
